"Kod";"Nazwa";"rynek pierwotny;do 40 m2;2018;[szt.]";"rynek pierwotny;do 40 m2;2019;[szt.]";"rynek pierwotny;do 40 m2;2020;[szt.]";"rynek pierwotny;do 40 m2;2021;[szt.]";"rynek pierwotny;do 40 m2;2022;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2018;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2019;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2020;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2021;[szt.]";"rynek pierwotny;od 40,1 do 60 m2;2022;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2018;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2019;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2020;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2021;[szt.]";"rynek pierwotny;od 60,1 do 80 m2;2022;[szt.]";"rynek pierwotny;od 80,1 m2;2018;[szt.]";"rynek pierwotny;od 80,1 m2;2019;[szt.]";"rynek pierwotny;od 80,1 m2;2020;[szt.]";"rynek pierwotny;od 80,1 m2;2021;[szt.]";"rynek pierwotny;od 80,1 m2;2022;[szt.]";"rynek wtórny;do 40 m2;2018;[szt.]";"rynek wtórny;do 40 m2;2019;[szt.]";"rynek wtórny;do 40 m2;2020;[szt.]";"rynek wtórny;do 40 m2;2021;[szt.]";"rynek wtórny;do 40 m2;2022;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2018;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2019;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2020;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2021;[szt.]";"rynek wtórny;od 40,1 do 60 m2;2022;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2018;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2019;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2020;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2021;[szt.]";"rynek wtórny;od 60,1 do 80 m2;2022;[szt.]";"rynek wtórny;od 80,1 m2;2018;[szt.]";"rynek wtórny;od 80,1 m2;2019;[szt.]";"rynek wtórny;od 80,1 m2;2020;[szt.]";"rynek wtórny;od 80,1 m2;2021;[szt.]";"rynek wtórny;od 80,1 m2;2022;[szt.]";
0000000;"POLSKA";16266;16182;17711;21391;;37236;35325;37510;43402;;20350;19794;19950;23854;;7369;8462;9558;12572;;33314;34491;30742;37855;;54713;58455;52254;65795;;24121;24993;21685;27537;;10234;11034;9908;12266;;
0200000;"DOLNOŚLĄSKIE";1542;1588;1115;3070;;4346;4088;2911;6234;;2551;2238;1581;3302;;969;925;740;1812;;3880;4144;3586;4811;;6584;7435;6056;8443;;3414;3610;2906;3908;;1548;1746;1491;2026;;
0201000;"Powiat bolesławiecki";3;0;10;18;;26;15;54;47;;30;19;30;82;;9;28;11;18;;129;78;61;98;;215;222;127;196;;121;144;92;108;;56;53;35;42;;
0202000;"Powiat dzierżoniowski";3;0;0;3;;5;5;5;7;;0;0;0;15;;0;0;5;7;;159;198;215;244;;164;213;225;301;;50;84;66;113;;30;36;29;34;;
0203000;"Powiat głogowski";19;14;0;22;;113;30;0;67;;39;17;11;26;;28;19;12;24;;93;93;112;157;;158;208;202;286;;105;93;119;139;;23;27;28;39;;
0204000;"Powiat górowski";0;0;0;0;;0;0;3;4;;0;0;0;0;;0;0;0;0;;3;16;12;13;;12;19;34;38;;10;9;20;21;;6;10;8;12;;
0205000;"Powiat jaworski";0;0;0;25;;0;0;3;16;;0;0;0;4;;0;0;0;0;;33;23;34;32;;45;50;53;53;;42;31;41;46;;15;21;24;23;;
0206000;"Powiat karkonoski";18;0;27;17;;38;17;31;48;;6;3;6;16;;0;12;10;25;;43;30;86;101;;57;64;138;150;;32;36;83;83;;20;18;49;52;;
0207000;"Powiat kamiennogórski";0;0;0;0;;0;0;0;4;;0;0;0;3;;0;0;0;0;;56;56;39;50;;57;66;75;57;;25;26;23;20;;14;13;8;12;;
0208000;"Powiat kłodzki";40;6;14;37;;49;47;48;34;;23;29;26;31;;0;3;0;4;;196;236;253;260;;233;327;311;402;;115;131;94;119;;52;57;66;71;;
0209000;"Powiat legnicki";0;0;0;0;;8;0;0;7;;0;0;5;10;;0;0;0;6;;14;23;14;33;;49;44;40;64;;35;22;37;44;;8;11;15;32;;
0210000;"Powiat lubański";8;3;0;0;;6;8;0;0;;0;3;0;0;;0;0;0;0;;59;71;75;93;;97;119;93;103;;65;63;55;77;;13;27;16;24;;
0211000;"Powiat lubiński";33;30;29;42;;90;135;96;110;;87;63;67;87;;21;17;23;30;;130;152;157;175;;260;298;262;331;;123;118;147;165;;17;38;29;32;;
0212000;"Powiat lwówecki";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;56;45;38;46;;55;60;54;63;;20;33;24;30;;11;13;24;15;;
0213000;"Powiat milicki";0;0;23;4;;0;0;41;23;;0;0;14;9;;8;8;8;3;;17;22;19;29;;43;32;39;41;;13;18;21;14;;9;12;7;14;;
0214000;"Powiat oleśnicki";9;0;23;7;;101;35;62;0;;48;35;26;27;;3;5;10;6;;82;110;109;119;;166;186;246;257;;68;96;89;155;;20;35;42;49;;
0215000;"Powiat oławski";14;5;39;27;;32;16;79;123;;39;3;44;21;;6;9;21;31;;54;43;48;100;;89;87;123;220;;43;46;65;95;;14;22;35;56;;
0216000;"Powiat polkowicki";4;4;0;6;;9;23;0;21;;12;34;0;28;;0;15;0;17;;50;69;41;60;;72;123;115;125;;47;63;61;63;;8;8;24;19;;
0217000;"Powiat strzeliński";6;0;0;0;;41;33;31;0;;11;13;5;0;;0;0;0;0;;28;32;29;41;;51;50;40;64;;23;33;21;27;;10;10;9;10;;
0218000;"Powiat średzki";22;10;25;29;;51;32;41;56;;24;7;11;3;;0;12;9;34;;23;52;34;41;;42;97;69;74;;25;59;52;101;;11;9;22;9;;
0219000;"Powiat świdnicki";23;10;18;70;;95;96;78;127;;93;80;98;79;;17;19;23;18;;225;255;213;229;;334;371;333;428;;165;199;159;169;;95;118;100;130;;
0220000;"Powiat trzebnicki";18;5;10;26;;52;14;31;106;;45;24;35;41;;0;9;12;10;;58;46;63;74;;93;108;133;125;;55;56;95;94;;25;25;31;60;;
0221000;"Powiat wałbrzyski";0;14;3;5;;7;9;4;5;;0;5;4;0;;3;4;0;8;;106;122;131;164;;118;169;151;190;;57;51;56;73;;21;37;36;42;;
0222000;"Powiat wołowski";0;0;0;5;;19;0;36;40;;19;5;60;35;;0;0;7;0;;84;72;65;75;;163;128;130;137;;72;49;65;51;;22;23;20;13;;
0223000;"Powiat wrocławski";90;127;141;211;;328;409;474;533;;296;352;286;278;;128;210;254;386;;97;102;81;108;;159;280;233;305;;141;193;220;236;;113;159;205;345;;
0224000;"Powiat ząbkowicki";0;0;6;4;;0;4;14;46;;0;0;6;22;;0;0;0;0;;51;60;75;83;;68;85;97;99;;36;52;40;49;;24;30;34;37;;
0225000;"Powiat zgorzelecki";0;0;0;4;;0;6;3;9;;0;6;0;0;;0;0;0;0;;98;116;104;129;;164;191;160;155;;84;113;76;87;;24;22;24;30;;
0226000;"Powiat złotoryjski";0;0;0;0;;0;0;0;10;;0;0;0;9;;0;0;4;11;;47;50;40;52;;58;65;61;64;;31;32;31;38;;11;20;17;6;;
0261000;"Powiat m. Jelenia Góra";16;40;19;46;;59;84;79;133;;31;38;39;57;;14;17;13;33;;201;183;183;218;;287;295;247;394;;131;155;112;159;;116;120;92;132;;
0262000;"Powiat m. Legnica";29;45;28;82;;101;42;95;76;;103;84;58;30;;44;31;45;15;;150;136;148;172;;300;308;263;406;;196;178;175;208;;118;139;105;143;;
0264000;"Powiat m. Wrocław";1180;1265;687;2365;;3112;3021;1590;4553;;1633;1409;744;2374;;679;503;265;1119;;1275;1362;847;1493;;2609;2809;1663;2839;;1350;1303;654;1171;;587;578;312;466;;
0265000;"Powiat m. Wałbrzych od 2013";3;0;4;11;;4;3;11;26;;0;5;3;11;;0;0;0;4;;263;291;260;322;;366;361;339;476;;134;124;113;153;;55;55;45;77;;
0400000;"KUJAWSKO-POMORSKIE";633;584;516;804;;1320;985;914;1302;;663;571;511;730;;219;151;142;240;;2011;2077;1859;2084;;3052;3247;2933;3571;;1225;1340;1107;1443;;370;407;364;465;;
0401000;"Powiat aleksandrowski";12;8;6;18;;24;22;20;41;;8;12;6;25;;0;0;0;0;;37;59;54;59;;72;82;68;88;;14;25;9;23;;3;6;0;5;;
0402000;"Powiat brodnicki";54;33;38;47;;189;152;90;95;;44;22;23;21;;5;0;0;3;;34;42;34;53;;94;81;81;127;;31;36;29;49;;11;10;9;7;;
0403000;"Powiat bydgoski";14;8;4;9;;28;9;15;38;;28;15;12;24;;8;0;0;34;;51;59;38;49;;76;92;65;80;;52;51;30;56;;12;24;30;36;;
0404000;"Powiat chełmiński";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;38;48;42;66;;69;57;55;65;;13;26;21;25;;4;10;6;10;;
0405000;"Powiat golubsko-dobrzyński";0;0;0;0;;5;0;0;0;;0;0;0;0;;0;0;0;0;;27;23;15;30;;35;39;43;54;;5;19;9;19;;0;0;0;5;;
0406000;"Powiat grudziądzki";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;13;8;17;13;;23;35;27;33;;11;11;18;12;;0;3;3;18;;
0407000;"Powiat inowrocławski";13;3;27;28;;76;53;80;117;;41;14;22;42;;13;6;4;26;;169;202;168;165;;225;262;237;313;;96;131;71;126;;18;18;24;28;;
0408000;"Powiat lipnowski";0;3;0;0;;0;8;0;0;;0;5;0;0;;0;0;0;0;;12;26;18;23;;17;29;37;29;;5;9;11;17;;0;3;0;3;;
0409000;"Powiat mogileński";0;0;3;0;;0;4;8;0;;5;27;5;0;;0;0;3;0;;21;9;25;19;;34;26;39;26;;16;19;5;13;;0;0;0;5;;
0410000;"Powiat nakielski";4;3;6;5;;14;33;30;16;;7;5;10;8;;0;0;0;0;;59;58;46;45;;86;93;104;114;;34;35;35;30;;9;6;4;9;;
0411000;"Powiat radziejowski";6;0;0;0;;17;0;0;3;;0;3;0;3;;0;0;0;0;;20;18;11;15;;19;15;8;16;;14;10;8;7;;3;5;0;4;;
0412000;"Powiat rypiński";4;0;9;11;;4;0;10;13;;0;0;0;0;;0;0;0;0;;8;12;13;24;;15;21;20;45;;8;26;15;26;;0;4;0;8;;
0413000;"Powiat sępoleński";0;0;0;0;;0;0;0;9;;0;0;0;10;;0;0;0;0;;18;14;22;16;;30;32;41;36;;10;14;12;18;;5;4;5;9;;
0414000;"Powiat świecki";0;0;0;4;;17;22;55;58;;14;24;33;44;;0;8;15;0;;59;34;45;51;;81;62;81;139;;30;26;23;41;;11;7;4;12;;
0415000;"Powiat toruński";14;17;0;17;;58;33;16;46;;23;15;10;19;;0;4;0;3;;22;37;37;30;;48;115;98;103;;25;22;42;46;;4;10;9;25;;
0416000;"Powiat tucholski";0;0;0;15;;0;0;0;9;;0;0;0;0;;0;0;0;0;;5;9;10;14;;26;27;26;24;;14;11;7;16;;0;4;3;9;;
0417000;"Powiat wąbrzeski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;28;13;19;22;;28;27;24;38;;8;9;12;11;;0;0;0;0;;
0418000;"Powiat włocławski";0;0;0;0;;3;3;0;0;;0;0;0;0;;0;0;0;0;;23;20;17;12;;22;26;26;32;;8;8;16;10;;0;3;0;3;;
0419000;"Powiat żniński";22;5;0;21;;17;5;0;41;;3;0;30;17;;0;0;0;0;;29;33;33;34;;41;53;54;61;;19;23;30;34;;5;8;3;6;;
0461000;"Powiat m. Bydgoszcz";325;305;277;496;;533;389;360;522;;267;273;227;340;;107;73;63;109;;693;683;592;679;;1020;989;883;1059;;401;405;326;397;;138;134;117;127;;
0462000;"Powiat m. Grudziądz";5;23;47;40;;35;24;76;117;;59;54;51;103;;31;25;11;18;;148;153;123;177;;214;214;204;239;;99;106;104;118;;35;27;36;35;;
0463000;"Powiat m. Toruń";113;153;71;65;;169;131;127;117;;93;55;59;43;;45;26;33;40;;325;341;347;371;;538;616;498;654;;229;223;190;271;;84;106;93;94;;
0464000;"Powiat m. Włocławek";40;22;22;23;;130;92;23;56;;66;44;22;26;;7;5;9;0;;172;176;133;117;;239;254;214;196;;83;95;84;78;;19;12;7;5;;
0600000;"LUBELSKIE";557;621;939;853;;1613;1446;1861;1703;;1004;781;865;865;;211;166;216;235;;1047;1141;1027;1379;;1776;2152;1983;2520;;761;897;775;955;;141;206;194;264;;
0601000;"Powiat bialski";0;13;0;13;;3;34;53;48;;8;16;22;19;;0;0;7;5;;3;9;11;10;;12;16;19;27;;8;5;3;0;;0;0;0;6;;
0602000;"Powiat biłgorajski";0;3;15;4;;8;33;78;18;;3;19;57;20;;0;0;6;0;;14;17;10;16;;35;35;27;40;;13;18;9;14;;0;0;0;3;;
0603000;"Powiat chełmski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;7;7;10;16;;11;16;4;18;;8;6;7;11;;0;0;0;0;;
0604000;"Powiat hrubieszowski";0;0;0;0;;0;0;0;0;;0;0;4;5;;0;0;0;0;;21;29;29;20;;37;39;36;41;;14;16;15;14;;0;0;3;0;;
0605000;"Powiat janowski";0;0;0;0;;0;21;0;0;;0;0;0;0;;0;0;0;0;;7;0;4;11;;9;11;9;12;;6;5;0;3;;0;0;0;0;;
0606000;"Powiat krasnostawski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;10;9;6;7;;15;14;8;14;;4;9;5;3;;0;0;0;0;;
0607000;"Powiat kraśnicki";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;34;25;38;63;;38;35;52;68;;13;9;11;21;;0;0;0;9;;
0608000;"Powiat lubartowski";4;0;10;5;;15;0;24;16;;7;0;10;9;;0;0;0;0;;16;26;19;21;;43;57;38;52;;11;24;18;8;;0;3;3;0;;
0609000;"Powiat lubelski";13;16;0;7;;34;26;19;32;;23;23;15;10;;4;8;15;31;;15;28;9;13;;39;32;32;39;;27;20;12;39;;15;25;26;36;;
0610000;"Powiat łęczyński";0;7;0;0;;0;22;0;0;;0;15;0;0;;0;0;0;0;;15;13;12;8;;23;16;31;39;;32;20;20;30;;0;0;0;11;;
0611000;"Powiat łukowski";0;0;0;6;;0;0;8;40;;0;0;9;16;;0;0;0;0;;23;28;21;31;;39;53;29;39;;12;20;13;15;;5;3;0;3;;
0612000;"Powiat opolski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;25;24;15;21;;36;27;27;34;;11;8;7;8;;0;0;0;0;;
0613000;"Powiat parczewski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;6;6;5;10;;21;7;48;14;;11;5;28;0;;0;0;0;0;;
0614000;"Powiat puławski";13;62;26;23;;11;86;127;51;;12;9;44;19;;9;6;12;3;;71;68;81;89;;85;139;116;143;;39;54;29;68;;4;14;3;14;;
0615000;"Powiat radzyński";4;5;4;0;;48;26;9;28;;11;21;5;0;;0;0;0;0;;13;13;5;11;;26;22;15;17;;13;11;4;7;;0;0;0;0;;
0616000;"Powiat rycki";0;0;0;0;;5;0;0;11;;3;0;0;0;;0;0;0;0;;16;22;16;25;;41;34;40;62;;12;11;9;21;;3;4;4;4;;
0617000;"Powiat świdnicki";0;0;0;0;;0;10;9;18;;0;10;10;7;;0;0;0;10;;64;77;43;73;;66;115;126;130;;18;35;33;42;;0;5;3;6;;
0618000;"Powiat tomaszowski";0;0;3;0;;3;0;13;0;;0;3;4;0;;0;0;0;0;;16;13;14;15;;33;29;29;29;;18;25;19;19;;5;4;0;4;;
0619000;"Powiat włodawski";0;0;3;0;;37;0;5;6;;4;0;0;0;;0;0;0;0;;26;20;24;19;;35;34;41;30;;11;12;14;9;;5;4;0;0;;
0620000;"Powiat zamojski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;7;0;4;7;;9;0;5;15;;5;4;5;0;;0;3;0;0;;
0661000;"Powiat m. Biała Podlaska";15;17;34;47;;41;48;111;101;;13;18;51;41;;17;7;19;11;;30;37;45;68;;69;106;145;158;;18;37;56;49;;4;8;15;12;;
0662000;"Powiat m. Chełm";0;0;29;38;;9;37;26;40;;6;21;11;33;;0;0;3;10;;79;87;103;97;;97;167;148;179;;54;66;58;70;;3;9;7;5;;
0663000;"Powiat m. Lublin";474;466;810;681;;1357;1064;1338;1251;;877;604;593;661;;158;137;144;155;;472;525;452;682;;863;1035;868;1207;;350;402;362;435;;79;110;113;134;;
0664000;"Powiat m. Zamość";28;26;0;24;;38;32;40;40;;34;20;30;19;;20;0;9;7;;57;54;51;46;;94;112;90;113;;53;75;36;65;;6;4;5;11;;
0800000;"LUBUSKIE";413;383;528;403;;1014;662;888;642;;670;537;378;304;;134;141;158;80;;1173;1187;1161;1289;;2049;2203;2062;2690;;933;944;823;1113;;318;351;321;412;;
0801000;"Powiat gorzowski";10;58;27;8;;48;117;28;49;;49;38;23;24;;4;8;0;24;;54;54;33;33;;102;127;53;62;;59;58;38;44;;20;21;10;12;;
0802000;"Powiat krośnieński";14;0;25;0;;48;21;28;0;;15;5;13;0;;4;0;3;0;;41;50;37;41;;93;96;74;82;;48;47;32;41;;9;15;10;20;;
0803000;"Powiat międzyrzecki";6;5;4;4;;9;6;39;28;;4;7;26;24;;3;5;21;5;;60;39;69;47;;95;85;81;107;;52;36;50;56;;13;15;9;19;;
0804000;"Powiat nowosolski";8;11;42;42;;66;31;99;86;;9;19;19;30;;0;3;5;0;;81;104;95;126;;115;131;119;159;;36;59;41;60;;14;14;27;33;;
0805000;"Powiat słubicki";10;9;6;4;;75;0;24;23;;3;0;3;15;;0;0;3;9;;48;51;40;60;;78;226;158;109;;35;52;33;55;;19;24;11;24;;
0806000;"Powiat strzelecko-drezdenecki";3;0;6;10;;9;6;16;17;;4;0;0;12;;0;0;0;0;;21;31;31;33;;56;55;64;84;;26;21;33;40;;7;9;15;11;;
0807000;"Powiat sulęciński";0;0;0;3;;0;0;0;3;;0;0;0;10;;0;0;0;0;;28;30;11;26;;60;49;30;60;;33;22;10;27;;6;14;5;6;;
0808000;"Powiat świebodziński";13;6;5;42;;32;84;84;95;;15;61;6;27;;0;6;0;4;;65;55;32;55;;88;81;62;133;;46;47;31;53;;17;9;11;14;;
0809000;"Powiat zielonogórski";7;0;0;25;;19;39;8;29;;6;4;0;0;;0;4;6;4;;54;39;70;65;;109;99;173;111;;57;44;49;33;;15;14;13;10;;
0810000;"Powiat żagański";3;0;0;3;;0;0;3;5;;0;0;6;8;;0;0;0;0;;90;89;81;102;;148;196;158;192;;60;67;62;63;;25;40;22;35;;
0811000;"Powiat żarski";11;7;0;3;;36;12;12;8;;31;26;39;27;;11;0;6;0;;106;94;77;114;;156;184;167;213;;68;54;63;68;;27;38;48;45;;
0812000;"Powiat wschowski";0;0;0;0;;0;0;6;0;;0;0;0;0;;0;0;0;5;;13;21;24;18;;38;37;38;44;;24;12;28;24;;6;10;8;17;;
0861000;"Powiat m. Gorzów Wielkopolski";217;147;186;201;;319;141;219;212;;249;115;76;84;;29;21;14;10;;240;260;219;226;;443;409;324;490;;149;200;130;175;;79;53;48;54;;
0862000;"Powiat m. Zielona Góra";110;137;222;57;;352;203;322;86;;285;260;162;39;;78;93;96;15;;272;270;342;343;;468;428;561;844;;240;225;223;374;;61;75;84;112;;
1000000;"ŁÓDZKIE";661;802;1344;1488;;1294;1556;1984;2358;;1039;1022;1032;1370;;344;322;330;418;;2330;2320;2136;2663;;3173;3245;3069;3590;;1073;1112;1047;1246;;341;430;290;368;;
1001000;"Powiat bełchatowski";6;0;0;9;;5;0;4;11;;0;0;3;7;;0;0;0;3;;51;58;39;65;;150;133;124;167;;125;119;104;152;;5;7;4;0;;
1002000;"Powiat kutnowski";9;8;7;37;;47;23;20;107;;33;26;29;60;;7;0;0;0;;41;55;40;57;;70;79;81;71;;26;16;15;24;;5;4;4;3;;
1003000;"Powiat łaski";0;0;0;0;;0;29;3;0;;0;8;0;0;;0;0;0;0;;32;15;15;18;;30;39;25;41;;12;15;9;10;;0;3;0;0;;
1004000;"Powiat łęczycki";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;20;21;23;21;;30;30;17;35;;7;9;5;4;;0;0;0;0;;
1005000;"Powiat łowicki";6;0;0;0;;24;12;0;0;;3;7;0;0;;0;0;0;0;;18;17;20;23;;26;30;24;30;;14;12;11;13;;4;0;0;0;;
1006000;"Powiat łódzki wschodni";0;0;0;0;;0;0;0;0;;0;9;0;0;;0;0;20;21;;15;18;4;17;;18;24;20;23;;3;10;3;17;;0;6;0;5;;
1007000;"Powiat opoczyński";0;3;0;6;;3;0;0;24;;0;0;0;6;;0;0;0;0;;31;33;21;23;;28;29;37;31;;19;17;6;12;;0;0;0;0;;
1008000;"Powiat pabianicki";8;5;5;17;;20;27;41;27;;21;30;62;56;;0;10;23;29;;93;50;83;88;;93;110;114;125;;42;26;54;63;;14;19;11;31;;
1009000;"Powiat pajęczański";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;4;12;4;4;;7;6;4;13;;0;0;0;0;;0;0;0;0;;
1010000;"Powiat piotrkowski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;7;0;;6;11;10;15;;20;6;8;12;;0;0;0;7;;0;0;0;0;;
1011000;"Powiat poddębicki";0;0;0;0;;6;0;0;3;;0;0;0;4;;0;0;0;0;;15;5;5;13;;24;21;13;57;;8;5;6;19;;0;0;0;0;;
1012000;"Powiat radomszczański";5;3;0;27;;38;7;6;21;;13;0;0;12;;0;0;0;0;;31;36;31;32;;36;48;33;51;;22;24;24;15;;0;0;3;8;;
1013000;"Powiat rawski";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;12;21;8;21;;22;33;19;34;;0;6;8;10;;0;3;0;0;;
1014000;"Powiat sieradzki";0;9;13;5;;9;42;4;45;;14;15;3;47;;0;8;3;20;;31;45;35;36;;61;69;59;65;;37;33;24;32;;7;14;6;6;;
1015000;"Powiat skierniewicki";0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;3;4;0;;0;6;0;0;;0;0;0;0;;0;0;0;0;;
1016000;"Powiat tomaszowski";6;6;11;13;;9;11;48;72;;0;16;9;61;;0;5;0;8;;84;77;72;87;;141;113;121;134;;34;39;30;24;;4;5;3;3;;
1017000;"Powiat wieluński";12;0;16;0;;43;11;14;0;;14;16;33;0;;0;6;3;0;;9;12;10;14;;21;29;31;26;;3;10;11;7;;3;0;0;0;;
1018000;"Powiat wieruszowski";20;0;18;7;;26;18;30;9;;14;22;4;8;;3;0;0;0;;26;3;0;33;;11;5;3;25;;11;9;8;12;;0;0;0;8;;
1019000;"Powiat zduńskowolski";4;0;0;0;;0;9;0;0;;0;9;0;0;;0;0;0;0;;41;42;48;41;;62;72;49;67;;28;40;24;19;;0;6;0;0;;
1020000;"Powiat zgierski";7;4;14;11;;35;14;64;31;;15;8;48;28;;9;5;12;21;;110;173;127;130;;162;183;154;191;;54;54;64;66;;10;11;9;10;;
1021000;"Powiat brzeziński";5;0;0;4;;8;19;21;7;;3;8;11;8;;0;0;0;0;;12;11;12;15;;17;19;14;18;;7;7;6;12;;0;0;0;0;;
1061000;"Powiat m. Łódź";544;718;1241;1258;;965;1198;1692;1852;;869;756;771;956;;320;260;248;307;;1512;1489;1405;1815;;2003;1975;1912;2180;;549;584;552;652;;267;333;228;271;;
1062000;"Powiat m. Piotrków Trybunalski";9;4;6;75;;4;49;20;102;;8;48;27;48;;0;26;9;5;;74;62;71;66;;75;122;144;134;;39;40;59;36;;8;9;9;10;;
1063000;"Powiat m. Skierniewice";16;36;5;13;;51;84;12;41;;30;40;26;61;;0;0;3;0;;62;51;49;28;;66;64;61;59;;29;34;23;39;;5;4;0;3;;
1200000;"MAŁOPOLSKIE";2608;2557;2469;2622;;4602;4713;3987;5021;;1812;1878;1888;2579;;501;662;849;1212;;1826;2441;2226;3032;;2713;3425;3246;4439;;1091;1291;1290;1721;;510;680;594;866;;
